content,score
senang skali sama you tube,2
"terdapat bug dimana video tidak dapat diputar(terus buffering) walaupun sinyalnya lancar,terus tombol skipnya nggak bisa hilang",1
Sangat baik,5
aplikasi yang sangat bagus,5
Kenapa hp oppo f5 tidak bisa buka yuotube mohon pencerahanya,1
Sangat bagus sekali,4
Sangat bagus baget,3
Knpa gal visa do buka,5
Aplikasi yang sangat berguna,5
sa. ngat membantu,1
karena aplikasi ini bisa nonton setiap beberapa menit nonton film hantu nonton horror seruuu jadi segini sahaja ya pertanyaan saya,5
YouTube bug keyboard terus menerus ya,4
tidak bisa membeli paket premium keluarga,4
Sangat keren bagus,5
nice Mantap,5
sangat membantu buat pekerjaan,5
sangat baik,5
Iklan sekarang lama banget 1 menitan dan gak bisa disekip juga,2
jossssssssss,5
Ok,5
sering kembali sendiri,1
Susah membukanya,1
mantap,5
The best app,5
mantap,5
Mantap,5
sukah,5
masa hp lama gak bisa buka YouTube lagi padahal zaman sekarang YouTube sangat penting 😭😭😭huhhhhhh👎👎👎 aku benci YouTube 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎😭😭😭😭😭😭😭😭😭😭😭😭😭 kasihan tahu yang hp nya lama soalnya gak ada update an nya kalian emang enak yang hp nya bagus tapi coba bayangkan jika kalian jadi mereka pasti kalian sedih banget kan YouTube nya gak bisa di buka 😭 😭😭😭😭😭😭😭😭😭😭😭😭,1
suka bgt banyak film korea seru,5
Bagus.....,5
bagus,5
Bagus,5
YouTube nya tidak bisa di perbarui,1
Saya suka karena video nya lengkap,5
tidak bsa di instal,1
Toppp,5
"udah bagus sihh cuman nihhh yaaa AKU LAGI NONTON SUAMI"" AKU LOOHHHH TADII TRUS UDAH AKU MODE YANG PALING MULUUUUSSS, TAPI TETAP AJA BUREEMM, APAAN DAHH MAKSUDNYA BEGITU HAHH?!?! INI PERDANA SUAMI AKOOHHH KONSER DISITU TAU TAK?? HUUMMPPHHH NYEBELIN",3
Star,5
Yutub saya kadang tidak bisa kebuka. Sudah usang terus,5
buruk,1
bagus banget,3
oke,5
Bagus,5
sangat memberi info dan hiburan,5
ok,5
Bagus untuk pembelajaran,5
puas sekali,5
Good,5
"kenapa youtube sy, jadi error ya??",3
Hobi youtub,5
Kerenn,5
bagus tapi terlau STM,5
Mantap,5
tolong bug dihilangkan,3
bagus,5
cocok ni banyak vARIAN,5
sangat berguna,5
mantap,5
Masih ada hambatan untuk masuk ke Yuo Tube nya,5
Kenapa hp lama di anak tirikan gak bisa buka youtube,1
kenapa YouTube saya tidak bisa di buka padahal sudah update berapa kali tapi tetap saja tidak bisa di buka,1
Kenapa gak bisa di downlod aplikasi youtub,1
Sangat bermanfaat,5
kenapa ya msh tdk bisa di buka,2
borus kuota,1
Bagus,5
Menghibur,3
ok,5
Keren,5
Sangat baik untuk kesehatan yang bisa membuat kita bisa tidur,5
versi YouTube sudah usang!! padahal udaa gua update,1
Sangat bagus 🤩🤩🤩,5
Tidak bisa dibuka,2
Knp tidak bisaa berfungsi di perangkat saya?,5
Ok,5
sangat bgus,5
siapa yang suka main YouTube nih,5
baik,5
ok,5
Kenapa youtube sekarang telah usang jadi bingung mau nonton gratisan dimana? Lebih baik youtube yang dulu tidak pilih kasih,1
kenapa kok gk bisa di buka,2
Ok,5
Nagus keren,5
sudah di update tetep gak bisa dibuka,1
Sangat baik,5
Yo tobe memberi pengetahuan baru bagi kami,4
sayangnya terlalu banyak iklan,5
suka you tube,5
oke,5
Mantap,5
baru,5
Senang,5
bagus,3
ok,5
"tempat menonton film tier A, namun itu fitur subnya/CC biasanya ngebug gak keluar ccnya",4
Karna bagus,5
oke,4
good,5
bagus,5
youtube bgst,1
kenapa di hp samsung j2 pro ngk bisa di buka?,3
pokok nya youtube mantap dan sanggat membantu,5
baik,5
bagus sekali tapi ada yang tidak menarik karena iklanya banyak,5
bagus cuma eror,4
aplikasinya si bagus tapi banyak iklannya,4
Keren,5
Sangan membantu kta tentang pengetahuan,5
iklan judol merajalela diyoutube,1
bagus,5
Karena seru,5
GK jelas,1
sangat bagus dlm berkreasi...,4
aku senang sekali,5
saya kasih bintang lima kerena gabut,5
Biar bintang yg menjelaskan,3
tolong buat kan aplikasi youtube premium dong penganti youtube yang usang aku udah bingung gak bisa nonton youtube,5
Cukup baik,5
keren,5
akun youtube saya tidak bisa dibuka saya telah melakukan semua cara di youtube memakai akun satunya dan hasilnya nihil,2
mantap,5
Mantap,5
Gak bisa buka,2
Karen tidak bisa di gunakan aku saja pake gotube,1
sangat puas,5
tidak bisa nyambung,5
Mantap,5
Bgus,5
yutub usang jgan izin kan,5
ok,5
saya suka dgn aplikasi ini karena mudah untuk menambah wawasan saya yg belum tahu dan dari apa yg sebelumya,5
okeh,3
membuat kita bisa menambah pengetahuan dan wawasan,5
sangat mudah,5
Mantap,4
Kenapa YouTube nya bug saja Dan hanya tulisan usang aku benci sekali ini,4
yutub harus bener semua nya,5
Semoga membantu,5
kenapa di YouTube short nya saya tidak bisa berkomentar yah tolong dijawab😭😭😭😭,4
puas menggunakan youtube,5
Mantap cuy,5
Bagussekali,5
aku suka dengan aplikasi ini,5
mantap,2
Ok,5
ini knp sih dimajuin manual malah terpause gak bisa terputar videonya,1
Youtobe tidak bisa dibuka,1
"Saya ketika jarang bikin video malahan ada salah di akun aku, padahal tidak ngapain ke akunku, tapi bagus aplikasinya😊",3
Keren,5
"entah kenapa fitur buat komen nya ga bisa ,jadi klau saya mau komen ga bsa komen kya yang lain ,jadi nya terhalang buat memberi pendapat ke orang lain.",3
sangat,5
yutup,5
kok bayak iklan siiii,5
kenapa yutube ga bisa di buka,5
aplikasi ini sungguh membantu pengalaman saya untuk menjadi youtubers dan subcriber aku udah bertambah terimakasih youtube,5
ga bisa di update,1
bagus tp di suruh updite terus,5
"Sekarang banyak banget dikolom komentar tentang judol, risih banget liatnya. Tolong ditindak lanjuti kolom komentar yang ada judolnya supaya tidak muncul lagi komen tentang judol.",2
